year,three_pct,three_made,three_pct_pred
1999,0.1,1.0,0.3056193780178411
2000,0.4098360655737705,25.0,0.31090146186816625
2001,0.3865814696485623,121.0,0.3161835457184914
2002,0.38464875951563915,107.0,0.3214656295688165
2003,0.38271604938271603,93.0,0.32674771341914166
2004,0.3157894736842105,6.0,0.3320297972694668
2005,0.2413793103448276,14.0,0.33731188111979193
2006,0.3888888888888889,21.0,0.34259396497011707
2007,0.358974358974359,98.0,0.3478760488204422
2008,0.3852040816326531,151.0,0.3531581326707691
2009,0.23529411764705882,12.0,0.35844021652109426
2010,0.3613707165109034,116.0,0.3637223003714194
2011,0.3,3.0,0.36900438422174453
2012,0.40601503759398494,162.0,0.37428646807206967
2013,0.4838709677419355,15.0,0.3795685519223948
2014,0.25,7.0,0.38485063577271994
2015,0.7,7.0,0.3901327196230451
2016,0.4,8.0,0.3954148034733702
2017,0.34545454545454546,57.0,0.40069688732369535
2018,0.38924050632911394,123.0,0.4059789711740205
2019,0.30198019801980197,61.0,0.4112610550243456
